n, Temperatura, Humedad
1,21.80,52.00
2,21.90,52.00
3,21.90,51.00
4,21.90,51.00
5,21.90,50.00
6,21.80,50.00
7,21.90,49.00
8,21.90,49.00
9,21.80,49.00
10,21.80,49.00
11,21.80,49.00
12,21.80,49.00
13,21.80,49.00
14,21.80,49.00
15,21.80,49.00
16,21.80,49.00
17,21.80,49.00
18,21.80,49.00
19,21.80,49.00
20,21.80,49.00
21,21.80,49.00
22,21.80,49.00
23,21.80,49.00
24,21.80,49.00
25,21.80,49.00
26,21.80,49.00
27,21.80,49.00
28,21.80,49.00
29,21.80,49.00
30,21.50,49.00
31,21.50,49.00
32,21.50,49.00
33,21.50,49.00
34,21.40,49.00
35,21.40,49.00
36,21.40,49.00
37,21.40,49.00
38,21.40,49.00
39,21.40,49.00
40,21.50,49.00
41,21.50,49.00
42,21.40,49.00
43,21.50,49.00
44,21.50,49.00
45,21.70,49.00
46,21.80,49.00
47,21.80,49.00
48,21.80,49.00
49,21.80,49.00
50,21.80,49.00
51,21.80,49.00
52,21.80,49.00
53,21.80,49.00
54,21.80,49.00
55,21.80,49.00
56,21.80,49.00
57,21.80,49.00
58,21.80,49.00
59,21.80,49.00
60,21.80,49.00
61,21.80,49.00
62,21.80,49.00
63,21.80,49.00
64,21.80,49.00
65,21.80,49.00
66,21.80,49.00
67,21.80,48.00
68,21.80,48.00
69,21.80,48.00
70,21.80,48.00
71,21.80,48.00
72,21.80,48.00
73,21.80,48.00
74,21.80,48.00
75,21.80,48.00
76,21.80,48.00
77,21.80,48.00
78,21.80,48.00
79,21.80,48.00
80,21.80,48.00
81,21.80,48.00
82,21.80,48.00
83,21.80,48.00
84,21.80,48.00
85,21.80,48.00
86,21.80,48.00
87,21.80,48.00
88,21.80,48.00
89,21.80,48.00
90,21.80,48.00
91,21.80,48.00
92,21.80,48.00
93,21.80,48.00
94,21.80,48.00
95,21.80,48.00
96,21.80,48.00
97,21.80,48.00
98,21.80,48.00
99,21.80,48.00
100,21.80,48.00
101,21.80,48.00
102,21.80,48.00
103,21.80,48.00
104,21.80,48.00
105,21.80,48.00
106,21.80,48.00
107,21.80,48.00
108,21.80,48.00
109,21.80,48.00
110,21.80,48.00
111,21.80,48.00
112,21.80,48.00
113,21.80,48.00
114,21.80,48.00
115,21.80,48.00
116,21.80,48.00
117,21.80,48.00
118,21.80,48.00
119,21.80,48.00
120,21.80,48.00
121,21.80,48.00
122,21.80,48.00
123,21.80,48.00
124,21.80,48.00
125,21.80,48.00
126,21.80,48.00
127,21.80,48.00
128,21.80,48.00
129,21.80,48.00
130,21.80,48.00
131,21.80,48.00
132,21.80,48.00
133,21.80,48.00
134,21.80,48.00
135,21.80,48.00
136,21.80,48.00
137,21.80,48.00
138,21.80,48.00
139,21.80,48.00
140,21.80,48.00
141,21.80,48.00
142,21.80,48.00
143,21.80,48.00
144,21.80,48.00
145,21.80,48.00
146,21.80,48.00
147,21.80,48.00
148,21.80,48.00
149,21.80,48.00
150,21.80,48.00
151,21.80,48.00
152,21.80,48.00
153,21.80,48.00
154,21.80,48.00
155,21.80,48.00
156,21.80,48.00
157,21.80,48.00
158,21.80,48.00
159,21.80,48.00
160,21.80,48.00
161,21.80,48.00
162,21.80,48.00
163,21.80,48.00
164,21.80,48.00
165,21.80,48.00
166,21.80,48.00
167,21.80,48.00
168,21.80,48.00
169,21.80,48.00
170,21.80,48.00
171,21.80,48.00
172,21.80,48.00
173,21.80,48.00
174,21.80,48.00
175,21.80,48.00
176,21.80,48.00
177,21.80,48.00
178,21.80,48.00
179,21.80,48.00
180,21.80,48.00
181,21.80,48.00
182,21.80,48.00
183,21.80,48.00
184,21.80,48.00
185,21.80,48.00
186,21.80,48.00
187,21.80,48.00
188,21.80,48.00
189,21.80,48.00
190,21.80,48.00
191,21.80,48.00
192,21.80,48.00
193,21.80,48.00
194,21.80,48.00
195,21.80,48.00
196,21.80,48.00
197,21.80,48.00
198,21.80,48.00
199,21.80,48.00
200,21.80,48.00
201,21.80,48.00
202,21.80,48.00
203,21.80,48.00
204,21.80,48.00
205,21.80,48.00
206,21.80,48.00
207,21.80,48.00
208,21.80,48.00
209,21.80,48.00
210,21.80,48.00
211,21.80,48.00
212,21.80,48.00
213,21.80,48.00
214,21.80,48.00
215,21.80,48.00
216,21.80,48.00
217,21.80,48.00
218,21.80,48.00
219,21.80,48.00
220,21.80,48.00
221,21.80,48.00
222,21.80,48.00
223,21.80,48.00
224,21.80,48.00
225,21.80,48.00
226,21.80,48.00
227,21.80,48.00
228,21.80,48.00
229,21.80,48.00
230,21.80,48.00
231,21.80,48.00
232,21.80,48.00
233,21.80,48.00
234,21.80,48.00
235,21.80,48.00
236,21.80,48.00
237,21.80,48.00
238,21.80,48.00
239,21.80,48.00
240,21.80,47.00
241,21.80,47.00
242,21.80,47.00
243,21.80,47.00
244,21.80,46.00
245,21.80,46.00
246,21.80,46.00
247,21.80,46.00
248,21.80,46.00
249,21.80,46.00
250,21.80,46.00
251,21.80,46.00
252,21.80,46.00
253,21.80,46.00
254,21.50,46.00
255,21.50,46.00
256,21.50,46.00
257,21.40,45.00
258,21.40,45.00
259,21.40,45.00
260,21.40,45.00
261,21.40,45.00
262,21.40,
